TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_DEFAULT,EXTRA
arma,arma,varchar,NO,,NULL,
arma,estado_arma,varchar,NO,,NULL,
arma,id_arma,int,NO,PRI,NULL,auto_increment
arma,tipo_arma,varchar,NO,,NULL,
base,arma,varchar,YES,,NULL,
base,autoidentificacion_etnica,varchar,YES,,NULL,
base,codigo_canton,varchar,YES,,NULL,
base,codigo_circuito,varchar,YES,,NULL,
base,codigo_distrito,varchar,YES,,NULL,
base,codigo_iccs,varchar,YES,,NULL,
base,codigo_parroquia,varchar,YES,,NULL,
base,codigo_provincia,varchar,YES,,NULL,
base,codigo_subcircuito,varchar,YES,,NULL,
base,condicion,varchar,YES,,NULL,
base,edad,varchar,YES,,NULL,
base,estado_civil,varchar,YES,,NULL,
base,estatus_migratorio,varchar,YES,,NULL,
base,fecha_detencion_aprehension,varchar,YES,,NULL,
base,flagrante_boleta,varchar,YES,,NULL,
base,genero,varchar,YES,,NULL,
base,hora_detencion_aprehension,varchar,YES,,NULL,
base,lugar,varchar,YES,,NULL,
base,movilizacion,varchar,YES,,NULL,
base,nacionalidad,varchar,YES,,NULL,
base,nivel_de_instruccion,varchar,YES,,NULL,
base,nombre_canton,varchar,YES,,NULL,
base,nombre_circuito,varchar,YES,,NULL,
base,nombre_distrito,varchar,YES,,NULL,
base,nombre_parroquia,varchar,YES,,NULL,
base,nombre_provincia,varchar,YES,,NULL,
base,nombre_subcircuito,varchar,YES,,NULL,
base,nombre_subzona,varchar,YES,,NULL,
base,nombre_zona,varchar,YES,,NULL,
base,numero_detenciones,int,YES,,NULL,
base,presunta_flagrancia,varchar,YES,,NULL,
base,presunta_infraccion,varchar,YES,,NULL,
base,presunta_modalidad,varchar,YES,,NULL,
base,presunta_subinfraccion,varchar,YES,,NULL,
base,sexo,varchar,YES,,NULL,
base,tipo,varchar,YES,,NULL,
base,tipo_arma,varchar,YES,,NULL,
base,tipo_lugar,varchar,YES,,NULL,
canton,codigo_canton,varchar,NO,,NULL,
canton,id_canton,int,NO,PRI,NULL,auto_increment
canton,nombre_canton,varchar,NO,,NULL,
circuito,codigo_circuito,varchar,NO,,NULL,
circuito,id_circuito,int,NO,PRI,NULL,auto_increment
circuito,nombre_circuito,varchar,NO,,NULL,
detencion,codigo_iccs,varchar,YES,,NULL,
detencion,condicion,varchar,YES,,NULL,
detencion,duracion_detencion,int,YES,,NULL,
detencion,fecha_detencion_aprehension,date,YES,,NULL,
detencion,hora_detencion_aprehension,time,YES,,NULL,
detencion,id_arma,int,YES,MUL,NULL,
detencion,id_detencion,int,NO,PRI,NULL,auto_increment
detencion,id_detenido,int,YES,MUL,NULL,
detencion,id_ubicacion,int,YES,MUL,NULL,
detencion,movilizacion,varchar,YES,,NULL,
detencion,presunta_flagrancia,varchar,YES,,NULL,
detencion,presunta_infraccion,varchar,YES,,NULL,
detencion,presunta_modalidad,varchar,YES,,NULL,
detencion,presunta_subinfraccion,varchar,YES,,NULL,
detencion,tipo_operativo,varchar,YES,,NULL,
detenido,autoidentificacion_etnica,varchar,YES,,NULL,
detenido,codigo_iccs,varchar,YES,,NULL,
detenido,edad,varchar,YES,,NULL,
detenido,estado_civil,varchar,YES,,NULL,
detenido,estatus_migratorio,varchar,YES,,NULL,
detenido,flagrante_boleta,varchar,YES,,NULL,
detenido,genero,varchar,YES,,NULL,
detenido,historial_salud,varchar,YES,,NULL,
detenido,id_detenido,int,NO,PRI,NULL,auto_increment
detenido,nacionalidad,varchar,YES,,NULL,
detenido,nivel_de_instruccion,varchar,YES,,NULL,
detenido,numero_detenciones,int,YES,,NULL,
detenido,ocupacion,varchar,YES,,NULL,
detenido,sexo,varchar,YES,,NULL,
detenido,tipo,varchar,YES,,NULL,
distrito,codigo_distrito,varchar,NO,,NULL,
distrito,id_distrito,int,NO,PRI,NULL,auto_increment
distrito,nombre_distrito,varchar,NO,,NULL,
parroquia,codigo_parroquia,varchar,NO,,NULL,
parroquia,id_parroquia,int,NO,PRI,NULL,auto_increment
parroquia,nombre_parroquia,varchar,NO,,NULL,
provincia,codigo_provincia,varchar,NO,,NULL,
provincia,id_provincia,int,NO,PRI,NULL,auto_increment
provincia,nombre_provincia,varchar,NO,,NULL,
subcircuito,codigo_subcircuito,varchar,NO,,NULL,
subcircuito,id_subcircuito,int,NO,PRI,NULL,auto_increment
subcircuito,nombre_subcircuito,varchar,NO,,NULL,
ubicacion,id_canton,int,NO,MUL,NULL,
ubicacion,id_circuito,int,NO,MUL,NULL,
ubicacion,id_distrito,int,NO,MUL,NULL,
ubicacion,id_parroquia,int,NO,MUL,NULL,
ubicacion,id_provincia,int,NO,MUL,NULL,
ubicacion,id_subcircuito,int,NO,MUL,NULL,
ubicacion,id_ubicacion,int,NO,PRI,NULL,auto_increment
ubicacion,lugar,varchar,NO,,NULL,
ubicacion,nombre_subzona,varchar,NO,,NULL,
ubicacion,nombre_zona,varchar,NO,,NULL,
ubicacion,tipo_lugar,varchar,NO,,NULL,
